book_id,title,author,category_id
32,Avatar: The Last Airbender The Art of the Animated Series (Second Edition),Michael Dante DiMartino,1
33,On Directing Film,David Mamet,1
34,The Magic of MinaLima: Celebrating the Graphic Design Studio Behind the Harry Potter & Fantastic Beasts Films,MinaLima,1
35,ILLUSION OF LIFE,Frank Thomas,1
36,Sara Aakash [Paperback] Rajendra Yadav,Rajendra Yadav,1
37,The Nutshell Technique: Crack the Secret of Successful Screenwriting,Jill Chamberlain,1
38,Pixar Storytelling: Rules for Effective Storytelling Based on Pixar's Greatest Films,Dean Movshovitz,1
39,Madhubala: Her Real Life Story (General Press),Manju Gupta,1
40,Jiya Jale: The Stories of Songs,Gulzar (In conversation with Nasreen Munni Kabir),1
41,Will,Will Smith,1
42,Mahanati savitri- venditera samragni (Mahanati savitri- venditera samragni),pallavi rg,1
43,The Musical Maverick: The Authorized Biography of Shankar Mahadevan,Ashis Ghatak,1
44,"Winter Kisses at Roseford Café: A escapist, romantic festive read from Fay Keenan",Fay Keenan,1
45,Sara Aakash Patkatha (Hindi Edition),Rajendra Yadav & Basu Chatterji,1
46,"Bondhu: My Father, My Friend (The India List)",Kunal Sen,1
47,Batman Begins: The Screenplay: Including Storyboards and Exclusive Interviews,Christopher Nolan,1
48,The Science of Interstellar,Kip Thorne,1
49,"STORY MAPS: The Dark Knight Trilogy (Batman Begins, The Dark Knight, The Dark Knight Rises)",Daniel Calvisi,1
50,"Animator's Survival Kit, The",Richard E. Williams,1
51,Beyond the Story: 10-Year Record of BTS,BTS and Myeongseok Kang,1
52,THE ARTIST'S WAY,Julia Cameron,1
53,Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 1,Trinity College London Press,1
54,Malibu Rising,Taylor Jenkins Reid,1
55,Six String Entertainment Pvt Ltd Blank Music manuscript book- 12 Stave : 32 pages (16 sheets),SIX STRING MUSIC,1
56,Piano 2021-2023. Grade 1,Trinity College London,1
57,Trinity College London Piano Exam Pieces Plus Exercises 2021-2023: Initial,Trinity College London,1
58,Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Initial Grade: And Technical Work - Initial Grade,Joanna Clarke,1
59,Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 3,Trinity College London Press,1
60,Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 2: 12 Pieces for Trinity College London Exams from 2023,Trinity College London,1
61,John Thompson's Easiest Piano Course - Part 1 - Book Only: Part 1 - Book Only,John Thompson,1
62,Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 3: Extended Edition: 21 Pieces for Trinity College London Exams from 2023,Trinity College London,1
63,Trinity College London Acoustic Guitar Exam Pieces 2020–2023: Initial–Grade 2: Initial to Grade 2,Trinity College London,1
64,"Six String Entertainment Pvt Ltd Music manuscript Book- 12 stave: 100 pages, 50 Sheet (Leaves)",SIX STRING MUSIC,1
65,"WHEN IN ROME: The charming new rom-com from the author of the TikTok sensation, THE CHEAT SHEET!",Sarah Adams,1
66,John Thompson's Modern Course for the Piano - First Grade (Book Only): First Grade - English: The First Grade Book : Something New Every Lesson,John Thompson,1
67,"Theory of Music Workbook Grade 1 (2007): Ursula Moray Williams, Gobbolino and the Little Wooden Horse",Trinity College London,1
68,Lekin,Edited by Dr. Kumar Vishwas Jon (Jaun Elia),1
69,Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 2,Trinity College London Press,1
70,Alfred's Basic Piano Library: Prep Course Lesson Book Level B,Willard Palmer,1
71,Sangeeta Bala Padam - Varnam Part 2,Giri,1
72,Standard Wirebound Manuscript Paper (Green Cover),Hal Leonard,1
73,Sangeeta Bala Padam - Varnam Part - 2 (Hardcover),Giri,1
74,THE CHEAT SHEET: TikTok made me buy it! The friends-to-lovers rom-com hit sensation!,Sarah Adams,1
75,Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 1: 12 Pieces for Trinity College London Exams from 2023,Trinity College London,1
76,Just Kids,Patti Smith,1
77,Daisy Jones and The Six,Taylor Jenkins Reid,1
78,Hindustani Sangeet Paddhati Kramik Pustak Malika Part 1,Pandit Vishnu Narayan Bhatkhande,1
79,Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 4,Trinity College London,1
80,"Raag Parichay Part 1, 2, 3, and 4 (Combo Set of 4 Books)",Pt. Harishchandra Shrivastava,1
81,Kotha Sangeeta Vidyadarpanam,Sri Ekha Subba Rao,1
82,John Thompson's Easiest Piano Course - Part 2 - Book Only: Part 2 - Book Only,John Thompson,1
83,"Alfred's Basic Adult Piano Course Lesson Book, Bk 1",Willard A Palmer,1
84,"Discovering Music Theory, The ABRSM Grade 1 Workbook",ABRSM,1
85,Sanchita's Bollywood Song Notations - Book 2 (Hindi),Sanchita Pandey,1
86,J I YA JALE THE STORIES OF SONGS,Nasreen Munni Kabir Gulzar,1
87,"Violin Scales, Arpeggios & Studies Initial-Grade 8 From 2016",Trinity College London,1
88,Net Sangeet,Dr. Tejsingh Taak,1
89,Trinity College London Piano Exam Pieces Plus Exercises 2021-2023: Initial - Extended Edition,Trinity College London,1
90,Concepts Of Vocal Music Class 12 (Second Edition),Pt. Satish Chandra Srivastava,1
91,"Piano Adventures, Primer Level, Lesson Book",Nancy Faber,1
92,Ganamrutha Bodhini Sangeetha Bala Padam English & Varna Malika (English) latest versions,Sangeetha Vidwan A.S. Panchapakesa Iyer,1
93,Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 1: Extended Edition: 21 Pieces for Trinity College London Exams from 2023,Trinity College London,1
94,Best of Taylor Swift : Song collection,Aishi,1
95,Learn Your Fretboard: The Essential Memorization Guide for Guitar (Book + Online Bonus),Luke Zecchin,1
96,Bollywood Odyssey: The Singing Taxman's Journey Into Film Music,Ajay Mankotia,1
97,"ABRSM Grade 3 Theory Workbook, Discovering Music Theory(New Syllabus 2021)",ABRSM Publication,1
98,"Solfège Des Solfèges, Complete, Book I, Book II and Book III: 337 Sight Singing Exercises",A. Dannhäuser,1
99,A History of Heavy Metal: 'Absolutely hilarious' – Neil Gaiman,Andrew O'Neill,1
100,John Thompson's Modern Course for the Piano 1,John Thompson,1
101,Harry Potter and the Cursed Child - Parts One and Two: The Official Playscript of the Original West End Production,J.K. Rowling,1
102,Waiting for Godot : A Tragicomedy in Two: A Tragicomedy in Two Acts (Faber Drama),Samuel Beckett,1
103,"Nandikeshwar's Abhinaya Darpanam, Revised & Enlarged",Manmohan Ghosh,1
104,"The Courtesan, The Mahatma And The Italian Brahmin : Tales From Indian History",Manu S. Pillai,1
105,Save the Cat!: The Last Book on Screenwriting You'll Ever Need,Blake Snyder,1
106,Greatest Comedies of Shakespeare Deluxe Hardbound Edition,William Shakespeare,1
107,காதல் ஔஷதம் நீ (Tamil Edition),அஞ்சனா  சுபி,1
108,So That Happened: A Romantic Comedy (Donovan Family Book 1),Katie Bailey,1
109,On Cloud Nine (Perks & Benefits Book 3),Denise Stone,1
110,மௌனக்குமிழ்கள் (Tamil Edition),சுகமதி Sugamathi,1
111,Plays: Ivanov/The Seagull/Uncle Vanya/Three Sisters/The Cherry Orchard (Penguin Classics) Anton Chekhov,Anton Chekhov,1
112,Poetics (Penguin Classics),Aristotle,1
113,சுடரொளியாய் வெளிச்சமூட்டு: SUDAROLIYAI VELICHAMOOTU (Tamil Edition),அஞ்சனா  சுபி,1
114,"How to Write Funny: Your Serious, Step-By-Step Blueprint For Creating Incredibly, Irresistibly, Successfully Hilarious Writing",Scott Dikkers,1
115,The Science of Storytelling,Will Storr,1
116,Four Great Comedies,William Shakespeare,1
117,"Hayvadan [Hardcover] Girish Karnad, Tr. B.V. Karant",Tr. B.V. Karant Girish Karnad,1
118,This Life at Play: Memoirs,Girish Karnad,1
119,Stella Adler: The Art of Acting,Howard Kissel,1
120,A History of Heavy Metal: 'Absolutely hilarious' – Neil Gaiman,Andrew O'Neill,1
121,அசுரனின் காதல் (Tamil Edition),Ebin Rider,1
122,BEFORE & LAUGHTER,Jimmy Carr,1
123,Pixar Storytelling: Rules for Effective Storytelling Based on Pixar's Greatest Films,Dean Movshovitz,1
124,BUILDING A CHARACTER,Constantin Stanislavski,1
125,"Storyworthy: Engage, Teach, Persuade, and Change Your Life Through the Power of Storytelling",Matthew Dicks,1
126,Batman Begins: The Screenplay: Including Storyboards and Exclusive Interviews,Christopher Nolan,1
127,An Actor Prepares,Constantin Stanislavski,1
128,Gulmohar,Kale V.P.,1
129,Film Lighting: Talks with Hollywood's Cinematographers and Gaffers [Paperback] Kris Malkiewicz,Kris Malkiewicz,1
130,Thirteen Plays of Bhasa: (2 Vols. Bound in One),A.C. Woolner Lakshman Sarup,1
131,James Acaster's Guide to Quitting Social Media,James Acaster,1
132,The Quite Nice and Fairly Accurate Good Omens Script Book,Neil Gaiman,1
133,"Funny Jokes for 15 Year Old Teens: The Ultimate Q&A, One-Liner, Dad, Knock-Knock, Riddle, and Tongue Twister Collection! Hilarious and Silly Humor for Teenagers",Cooper The Pooper,1
134,Drama Games for Those Who Like to Say No,Chris Johnston,1
135,"BOLLYWOOD, BOX OFFICE AND BEYOND: The Evolving Business of Indian Cinema",Lata Jha,1
136,अभिनेता जीवन-एक संघर्ष: Evaluate yourself before you enter in the industry! (Hindi Edition),Pankaj Gupta,1
137,The Voice Exercise Book: A Guide to Healthy and Effective Voice Use,Jeannette Nelson,1
138,The Oxford Guide to Plays (Oxford Quick Reference),Michael Patterson,1
139,William Shakespeare: The Complete Works (Illustrated),William Shakespeare,1
140,Sanford Meisner on Acting,Dennis Longwell,1
141,Discover India: Festivals of India,Sonia Mehta,1
142,Days of Reading (Penguin Great Ideas),Marcel Proust,1
143,Will,Will Smith,1
144,101 Foolproof Jokes to Use in Case of Emergency,Adam Kisiel,1
145,Kishore Kumar: The Ultimate Biography,Anirudha Bhattacharjee,1
146,"Basketball (and Other Things): A Collection of Questions Asked, Answered, Illustrated",Shea Serrano,1
147,"Everyone You Hate is Going to Die: And Other Comforting Thoughts on Family, Friends, Sex, Love, and More Things That Ruin Your Life",Daniel Sloss,1
148,Marainthirunthu Paarkum Marmam Enna..!!!: மறைந்திருந்து பார்க்கும் மர்மம் என்ன..!!! (Tamil Edition),Thiyashi Vijay,1
149,A Bird on My Windowsill,Manav Kaul,1
150,The Guide for Every Screenwriter: From Synopsis to Subplots: The Secrets of Screenwriting Revealed,Geoffrey D Calhoun,1
151,Physics Galaxy 2024: JEE Advanced - Physics - Chapter wise PYQ Analysis by Ashish Arora,Ashish Arora,1
152,Physics Galaxy 2024: Physics - 23 Years' NEET - Chapter-wise & Topic-Wise Solutions (2001-2023) by Ashish Arora,Ashish Arora,1
153,"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and TikTok sensation",Alex Michaelides,1
154,THE ARTIST'S WAY,Julia Cameron,1
155,Physics Galaxy 2023 : Vol.3A Electrostatics & Current Electricity 3rd Edition,Ashish Arora,1
156,PHYSICS GALAXY 2023 : VOL.1 - MECHANICS 3RD EDITION,Ashish Arora,1
157,Letters of Vincent Van Gogh (Penguin Classics),Vincent Van Gogh,1
158,"PHYSICS GALAXY : VOL.3B - MAGNETISM, EMI & ALTERNATING CURRENT 3RD EDITION: Vol.3B - Magnetism, EMI & Alternating Current 3rd edition by Ashish Arora",Ashish Arora,1
159,"Design as Art (Penguin Modern Classics) Munari, Bruno",Bruno Munari,1
160,"Physics Galaxy : Vol.2  Thermodynamics, Oscillations  & Waves 3rd edition",Ashish Arora,1
161,History Optional - Modern India & World History - Previous Years UPSC Solved Papers 1979-2022 2ed by Rashid Yasin,Rashid Yasin,1
162,Physics Galaxy : Vol. IV Optics & Modern Physics (3rd edition) by Ashish Arora,Ashish Arora,1
163,UPPSC 2023 Previous Years' Topic-Wise Solved Papers  - Paper I 2003-22 & Solved Paper II 2012-22 4ed by Sheelwant Singh & Sarika: Previous Years' ... & Solved Paper II 2012-22 4ed by Access,Sheelwant Singh,1
164,Geronimo Stilton and the Kingdom of Fantasy #7: The Enchanted Charms,Geronimo Stilton,1
165,History Optional 2023 - Ancient & Medieval India - Previous Years UPSC Solved Papers (1979 - 2022) 2ed by Rashid Yasin,Rashid Yasin,1
166,"The Complete Color Harmony, Pantone Edition: Expert Color Information for Professional Results",Leatrice Eiseman,1
167,Pretentiousness: Why It Matters,Dan Fox,1
168,IELTS Academic+ General Test: Listening Book by Career Launcher,Career Launcher,1
169,RRB 2022-23 - Junior Engineer CBT -I & II - Civil Engineering - Guide by GKP,GKP,1
170,Watercolour Demonstrations,Milind Mulick,1
171,Pretentiousness: Why it Matters,Dan Fox,1
172,IELTS Academic + General Test: Reading Book by Career Launcher,Career Launcher,1
173,"Map Entries for History Optional 3ed by Rashid Yasin, Ranjan Singh",Rashid Yasin,1
174,GATE 2024 Architecture & Planning Vol 1 - Guide by Ar. Jinisha Jain,Jinisha Jain,1
175,Pretentiousness: Why it Matters,Dan Fox,1
176,இரவின் நிமிடங்கள் (Tamil Edition),ஜில் ஜில்  சிங்காரி ,1
177,Paryavaran Evam Paristhithiki 6e by Dr. Majid Husain Hindi,Dr Majid Husain,1
178,The Battle Of Rezang La: The true story of how 120 Indian soldiers faced 5000 Chinese troops | Essential Indian Army Books on War | Penguin Non-fiction,Kulpreet Yadav,1
179,IELTS Academic+ General Test: Grammar Book by Career Launcher,Career Launcher,1
180,Klimt: The Kiss Jigsaw: 1000 Piece Jigsaw,Flame Tree Studio,1
181,"One Sting Attached (Hindi)/Ishq Baki/इश्क़ बाक़ी: Bichhad Ke Bhi Na Bichhde, Aise Saath Ke Naam/बिछड़ के भी न बिछड़े, ऐसे साथ के नाम",Pankaj Dubey/पंकज दुबे,1
182,IELTS Academic+ General Test: Writing Book by Career Launcher,Career Launcher,1
183,Seneca's Letters from a Stoic,Lucius Annaeus Seneca,1
184,Ways of Seeing: Based on the BBC Television Series,John Berger,1
185,Your Brain on Art: How the Arts Transform Us,Susan Magsamen,1
186,Physics Galaxy 2023 : JEE Advanced - Physics - Chapter wise PYQ Analysis by Ashish Arora,Ashish Arora,1
187,Ways of Seeing,John Berger,1
188,"Vincent van Gogh: 1853-1890, Vision and Reality",Ingo F. Walther,1
189,WABI SABI: JAPANESE WISDOM FOR A PERFECTLY IMPERFECT LIFE,Beth Kempton,1
190,"Ethics, Integrity & Aptitude (For Civil Services Examination) 8ed by access",G. Subba Rao  & P N  Roychowdhury,1
191,Lunch with the FT,Lionel Barber,1
192,Mind in Motion: How Action Shapes Thought,Barbara Tversky,1
193,Naga Identities: Changing Local Cultures in the Northeast of India,Michael Oppitz,1
194,"Art 101: From Vincent van Gogh to Andy Warhol, Key People, Ideas, and Moments in the History of Art (Adams 101 Series)",Eric Grzymkowski,1
195,LPMC : Create Dangerously (Penguin Modern),Albert Camus,1
196,My Paintings Thoughts Behind Them,Vasudeo Kamath,1
197,Staff Nurse - PSC Question Bank by Sreedevi Santhosh Sreenandhanam,Career Launcher,1
198,CULTURE - A New World History,Martin Puchner,1
199,How to Draw Comics for Beginners: The Ultimate Comic Drawing Guide for Kids and Adults,Cory Carrera,1
200,PHOTOGRAPHY: A VERY SHORT INTRODUCITON: A Very Short Introduction (Very Short Introductions),Steve Edwards,1
201,"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson [Paperback] Albom, Mitch",Mitch Albom,2
202,Chautha Ank'Autobiography Ravindra Mahajani चौथा अंक माधवी रवींद्र महाजनी,Madhavi Ravindra Mahajani,2
203,Nenu (Atmakatha in Telugu),Brahmanandam,2
204,An Uncommon Love: The Early Life of Sudha and Narayana Murthy,Chitra Banerjee Divakaruni,2
205,Chautha Ank [Ravindra Mahajani] - Marathi,Madhavi Ravindra Mahajani,2
206,Make You Bed,William H. McRaven,2
207,Wise and Otherwise: A salute to Life [Paperback] Sudha Murty,Murty Sudha,2
208,AUTOBIOGRAPHY OF A YOGI,Paramahansa Yogananda,2
209,The Diary of A Young Girl,Anne Frank,2
210,"Kitne Ghazi Aye Kitne Ghazi Gaye: A Memoir: A True Life Account of Bravery And Sacrifice of An Army Soldier Who Served India For More Than 40 Years [Hardcover] Dhillon, Lt Gen KJS 'Tiny'",K.J.S. Dhillon,2
211,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,2
212,"Same as Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",Morgan Housel,2
213,Autobiography of A Yogi (Hindi),Paramahansa Yogananda,2
214,Zero to Billions - The Zerodha Story: An inspiring story on how a startup disrupted the Indian Stock Market (Indian Unicorns),ABHISHEK B,2
215,Doglapan : The Hard Truth about Life and Start-Ups,ASHNEER GROVER,2
216,TWELFTH FAIL,Anurag Pathak,2
217,World's Greatest Leaders: Biographies of Inspirational Personalities For Kids,Wonder House Books,2
218,Why I Killed Gandhi?,Nathuram Godse,2
219,Shoe Dog,Phil Knight,2
220,"My Inventions, Autobiography of Nikola Tesla",Nikola Tesla,2
221,Autobiography of a Yogi,Paramahansa Yogananda,2
222,"MANY LIVES, MANY MASTERS [Paperback] Weiss, Brian",DR BRIAN WEISS,2
223,Borsi Bhar Aanch,Yatish Kumar,2
224,"Three Thousand Stitches: Ordinary People, Extraordinary Lives [Paperback] Murty, Sudha",Murty Sudha,2
225,Chanakya Neeti,Acharya Chanakya,2
226,"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics",Bhagat Singh,2
227,Autobiography Of A Yogi (Complete Edition),Paramahansa Yogananda,2
228,Autobiography of a Yogi in Hindi | Yogi Kathamrit | Ek Yogi Ki Atmakatha | Paramahansa Yogananda Hindi | Yogi Book,Paramahansa Yogananda,2
229,Autobiography of A Yogi,Paramahansa Yogananda,2
230,Jaun Elia: Ek Ajab Ghazab Shayar - Hindi,Jaun Elia,2
231,"Memory: How to Develop, Train and Use It | Original Edition | Premium Paperback",William Walker Atkinson,2
232,The Story of My Experiments With Truth,Mahatma Gandhi,2
233,"The Story of My Experiments With Truth: Mahatma Gandhi, An Autobiography (Hindi)",Mahatma Gandhi,2
234,How Prime Ministers Decide,Neerja Chowdhury,2
235,One Up on Wall Street: How To Use What You Already Know To Make Money in the Market,Peter Lynch,2
236,Jag Badalnara Baap Manus (Dr. Babasaheb Ambedkar),Jagdish Ohol,2
237,Autobiography of a Yogi (Tamil),Paramahansa Yogananda,2
238,"Leaders Eat Last (With a New Chapter): Why Some Teams Pull Together and Others Don't [Paperback] Sinek, Simon",Simon Sinek,2
239,Poor Charlie’s Almanack: The Essential Wit and Wisdom of Charles T. Munger,Charles T. Munger,2
240,You Are Born to Blossom,DR APJ ABDUL KALAM,2
241,Adolf Hitler (Hindi),MAHESH DUTT SHARMA,2
242,"Here, There and Everywhere",Murty Sudha,2
243,AUTOBIOGRAPHY OF A YOGI (HB),YOGANANDA,2
244,Introducing Buddha: A Graphic Guide (Graphic Guides),Borin Van Loon,2
245,The Unusual Billionaires,Saurabh Mukherjea,2
246,Everything I Know About Love : Now a Major BBC One Series,Dolly Alderton,2
247,"Common, yet Uncommon",Sudha Murty,2
248,Apprenticed To A Himalayan Master: A Yog: A Yogi's Autobiography,Sri M,2
249,Bravehearts of Bharat : Vignettes from Indian History,Vikram Sampath,2
250,Balidan : Stories of India's Greatest Para Special Forces Operatives,Swapnil Pandey,2
251,Man's Search For Meaning: The classic tribute to hope from the Holocaust,Victor E. Frankl,2
252,Wise and Otherwise: A salute to Life [Paperback] Sudha Murty,Murty Sudha,2
253,The Diary of A Young Girl,Anne Frank,2
254,"Kitne Ghazi Aye Kitne Ghazi Gaye: A Memoir: A True Life Account of Bravery And Sacrifice of An Army Soldier Who Served India For More Than 40 Years [Hardcover] Dhillon, Lt Gen KJS 'Tiny'",K.J.S. Dhillon,2
255,The Thoughtful Investor,Basant Maheshwari,2
256,TWELFTH FAIL,Anurag Pathak,2
257,Why I Killed Gandhi?,Nathuram Godse,2
258,"My Inventions, Autobiography of Nikola Tesla",Nikola Tesla,2
259,"Three Thousand Stitches: Ordinary People, Extraordinary Lives [Paperback] Murty, Sudha",Murty Sudha,2
260,Autobiography of A Yogi,Paramahansa Yogananda,2
261,How Prime Ministers Decide,Neerja Chowdhury,2
262,Lokdeo Nehru : Dinkar Granthmala,Ramdhari Singh Dinkar,2
263,Bravehearts of Bharat : Vignettes from Indian History,Vikram Sampath,2
264,Balidan : Stories of India's Greatest Para Special Forces Operatives,Swapnil Pandey,2
265,India’s Most Fearless : True Stories Of Modern Military Heroes | War Stories,Aroor Shiv & Singh Rahul,2
266,"Mother I Never Knew, The",Murty Sudha,2
267,India Unboxed: 75 Quirky Aspects That Define the Nation,Safir Anand,2
268,Maine Gandhi Ko Kyon Mara? (Hindi Translation of Why I Killed Gandhi?),Nathuram Godse,2
269,The Happiest Man on Earth,Eddie Jaku,2
270,"""कितने गाजी आए कितने गाजी गए"" Kitne Ghazi Aaye, Kitne Ghazi Gaye (Hindi Version) Book In Hindi",Lt Gen. K.J.S. ‘Tiny’ Dhillon,2
271,The Night Whispers: An absolutely unputdownable addictive thriller with a shocking twist! (A Slayton Thriller Book 2),Caroline Mitchell,2
272,Daivathinte Charanmar - You Could Be One,JOSEPH ANNAMKUTTY JOSE,2
273,Mossad,Michael Bar-Zohar,2
274,Mindset - Hindi,Carol S. Dweck,2
275,India's Most Fearless 3,Rahul Singh,2
276,Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,2
277,India's Most Fearless 2 : More Military Stories of Unimaginable Courage and Sacrifice | Stories of War,Shiv Aroor; Rahul Singh,2
278,THE REAL YOGI,GANA,2
279,Best Love Letters of All Time Pocket Classic,Various,2
280,"Snakes, Drugs and Rock 'n' Roll: My Early Years",Romulus Whitaker,2
281,The Day I Stopped Drinking Milk : Life Lessons From Here And There,Sudha Murty,2
282,Good Night Stories for Rebel Girls: 100: 100 Tales Of Extraordinary Women,Elena Favilli,2
283,The Midnight Man: A gripping new crime series (A Slayton Thriller Book 1),Caroline Mitchell,2
284,AT THE PLEASURE OF HIS MAJESTY: I.M. Lall and the Case That Shook the Crown,Chander M. Lall,2
285,"Savarkar: Echoes from a Forgotten Past,",Vikram Sampath,2
286,Something Happened on the Way to Heaven: 20 Inspiring Real-Life Stories [Paperback] Sudha Murty,Murty Sudha (Ed.),2
287,The Diary of a Young Girl (Hindi),Anne Frank,2
288,Savarkar: Ek Bhule-Bisre Ateet Ki Goonj,Vikram Sampath,2
289,அக்னி-ஸ்ரீ : Agni-Sri(Tamil Edition) (அக்னி-ஸ்ரீ(பாகம்-1)),Priya Jagannathan,2
290,An Uncommon Love: The Early Life of Sudha and Narayana Murthy,Chitra Banerjee Divakaruni,2
291,Conundrum,Chandrachur Ghose & Anuj Dhar,2
292,One Small Mistake: An addictive and heart racing new thriller,Dandy Smith,2
293,அக்னி-ஸ்ரீ(பாகம்-2): Agni-Sree(Tamil Edition) (அக்னி-ஸ்ரீ(பாகம்-1)),ப்ரியா  ஜெகன்நாதன்,2
294,The Choice : A true story of hope,Edith Eger,2
295,12 years a slave : A true story (Fingerprint),Solomon Northup,2
296,Dongri to Dubai: Six Decades of the Mumbai Mafia,S. Hussain Zaidi,2
297,Man-eaters of Kumaon,Jim Corbett,2
298,"Dying To Be Me : My Journey from Cancer: My Journey from Cancer, to Near Death, to True Healing",Anita Moorjani,2
299,ORU POLICE SURGEONTE ORMAKURIPPUKAL [ ഒരു പോലീസ് സർജൻ്റെ ഓർമ്മക്കുറിപ്പുകൾ ] [ 13th Edition : September 2019 ],Dr.B.UMADATHAN,2
300,#Tatastories : 40 Timeless Tales to Inspire You,Harish Bhat,2
301,The 7 Habits of Highly Effective People: Infographics Edition: Powerful Lessons in Personal Change,Stephen R. Covey,3
302,The Psychology of Money,Morgan Housel,3
303,Breakout Trading Made Easy: Maximize Your Profits with Simple Price Action Strategies,Sunil Gurjar,3
304,"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,3
305,A Beginner's Guide to the Stock Market,Matthew R. Kratter,3
306,Rich Dad Poor Dad: 25th Anniversary Edit,Robert T. Kiyosaki,3
307,How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,3
308,The 5 AM Club,Robin Sharma,3
309,"Thinking, Fast & Slow (L)",Daniel Kahneman,3
310,Zero to One (L),Peter Thiel,3
311,The Richest Man In Babylon - Fingerprint!,George S. Clason,3
312,The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,3
313,"Deep Work: Rules for Focused Success in a Distracted World [Paperback] Newport, Cal",Cal Newport,3
314,Feel-Good Productivity: How to Do More of What Matters to You,Ali Abdaal,3
315,"Communication Book, The",Mikael Krogerus,3
316,The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,3
317,"Thinking, Fast and Slow",Daniel Kahneman,3
318,The Psychology of Money – Deluxe Edition,Morgan Housel,3
319,Make You Bed,William H. McRaven,3
320,The IndiGo Story: Inside the Upstart that Redefined Indian Aviation,Shelley Vishwajeet,3
321,HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,Dale Carnegie,3
322,The Intelligent Investor Rev Ed.,Benjamin Graham,3
323,The Art of Laziness: Overcome Procrastination & Improve Your Productivity,Library Mindset,3
324,Hyperfocus: How to Work Less to Achieve More,Chris Bailey,3
325,THE RICHEST MAN IN BABYLON (PB),George S. Clason,3
